Class,Larva,Num_Peaks,Num_RR_Intervals,Mean_RR_ms,Std_RR_ms,Min_RR_ms,Max_RR_ms
1_Isoproterenol 1 µM,Larva 01,1092,1091,274.5875343721357,15.169811501688352,200.0,350.0
1_Isoproterenol 1 µM,Larva 02,1159,1158,258.70034542314335,12.30965681907128,200.0,275.0
1_Isoproterenol 1 µM,Larva 03,1073,1072,279.52425373134326,12.046139895559142,250.0,425.0
1_Isoproterenol 1 µM,Larva 04,1061,1060,282.64150943396226,13.927161381153859,225.0,400.0
1_Isoproterenol 1 µM,Larva 05,1044,1043,287.27229146692235,12.735402570857223,250.0,325.0
1_Isoproterenol 1 µM,Larva 06,1083,1082,276.87153419593346,13.784221177447556,250.0,325.0
1_Isoproterenol 1 µM,Larva 07,1180,1179,254.19847328244273,24.569535002845935,175.0,600.0
1_Isoproterenol 1 µM,Larva 08,1054,1053,284.6628679962013,22.13777368827686,250.0,625.0
1_Isoproterenol 1 µM,Larva 09,1110,1109,270.24346257889994,14.141633980394014,250.0,525.0
1_Isoproterenol 1 µM,Larva 10,1041,1040,288.0769230769231,14.778943120646806,250.0,325.0
1_Isoproterenol 1 µM,Larva 11,897,896,334.4029017857143,21.59012341510904,275.0,450.0
1_Isoproterenol 1 µM,Larva 12,910,909,329.62046204620464,18.632986453195073,275.0,425.0
1_Isoproterenol 1 µM,Larva 13,938,937,319.63713980789754,14.237152366525697,300.0,375.0
1_Isoproterenol 1 µM,Larva 14,890,889,336.69853768278966,14.26233439302868,300.0,375.0
1_Isoproterenol 1 µM,Larva 15,916,915,327.21311475409834,14.641189096762577,275.0,350.0
1_Isoproterenol 1 µM,Larva 16,832,831,360.28880866425993,15.879005731125568,325.0,400.0
1_Isoproterenol 1 µM,Larva 17,996,995,301.05527638190955,11.708003524583225,250.0,325.0
1_Isoproterenol 1 µM,Larva 18,1014,1013,295.90325765054297,10.849801052204223,275.0,350.0
1_Isoproterenol 1 µM,Larva 19,954,953,314.1657922350472,13.454357370095689,275.0,375.0
