Frame,Mean
1,2147
2,2233
3,2152
4,2008
5,1902
6,1293
7,1070
8,1053
9,1394
10,1548
11,1825
12,1999
13,2252
14,2107
15,2026
16,1943
17,1337
18,961
19,1029
20,1215
21,1436
22,1745
23,2014
24,2100
25,2153
26,2222
27,2211
28,1473
29,996
30,1088
31,1157
32,1406
33,1802
34,1983
35,1946
36,2290
37,2063
38,2053
39,1414
40,986
41,901
42,1105
43,1459
44,1776
45,1909
46,2199
47,2169
48,2103
49,2018
50,1601
51,1173
52,1024
53,1080
54,1076
55,1619
56,1836
57,2166
58,2176
59,1995
60,1964
61,1760
62,1189
63,1009
64,1122
65,1379
66,1473
67,1766
68,1997
69,2164
70,2129
71,2058
72,1923
73,1109
74,978
75,989
76,1299
77,1488
78,1821
79,2025
80,2212
81,2378
82,1911
83,2096
84,1386
85,980
86,1017
87,1056
88,1538
89,1748
90,2090
91,2309
92,2209
93,2157
94,2410
95,1411
96,1163
97,995
98,1025
99,1438
100,1710
101,1933
102,2119
103,2234
104,2195
105,2034
106,1507
107,1055
108,1177
109,1199
110,1488
111,1677
112,1978
113,2163
114,2155
115,1993
116,2150
117,1559
118,1138
119,1033
120,1107
121,1301
122,1655
123,1931
124,1955
125,2057
126,2038
127,2009
128,1762
129,1119
130,993
131,1248
132,1395
133,1689
134,1896
135,1944
136,2200
137,2212
138,1900
139,1841
140,1226
141,1009
142,1014
143,1218
144,1468
145,1814
146,2004
147,2215
148,2067
149,2010
150,2163
151,1330
152,977
153,1129
154,1170
155,1538
156,1745
157,2064
158,2333
159,2150
160,2114
161,2054
162,1372
163,1092
164,1073
165,1212
166,1410
167,1744
168,1989
169,2142
170,2115
171,1892
172,2086
173,1529
174,995
175,1039
176,1165
177,1437
178,1698
179,2083
180,2067
181,2194
182,2227
183,2060
184,1609
185,997
186,906
187,1070
188,1314
189,1763
190,1948
191,2153
192,2169
193,2057
194,2067
195,1637
196,1216
197,993
198,1174
199,1404
200,1590
201,1835
202,2120
203,2247
204,2391
205,1996
206,1759
207,1231
208,967
209,975
210,1250
211,1499
212,1765
213,2030
214,2220
215,2237
216,2140
217,2016
218,1276
219,941
220,1058
221,1246
222,1547
223,1861
224,2163
225,2210
226,2034
227,2150
228,2230
229,1436
230,1066
231,1052
232,1142
233,1401
234,1790
235,2102
236,2139
237,2211
238,2241
239,2033
240,2217
241,1327
242,1034
243,930
244,1100
245,1383
246,1677
247,2165
248,2258
249,2110
250,2201
251,2181
252,1614
253,1110
254,1095
255,1095
256,1162
257,1693
258,1840
259,2202
260,2253
261,2268
262,2048
263,1961
264,1167
265,1013
266,1090
267,1318
268,1579
269,1764
270,2022
271,2204
272,2224
273,2151
274,2112
275,1290
276,954
277,1034
278,1033
279,1520
280,1714
281,1984
282,2115
283,2172
284,2075
285,2265
286,1413
287,1016
288,1019
289,1140
290,1459
291,1671
292,2021
293,2250
294,2237
295,2134
296,2125
297,1731
298,938
299,1084
300,1080
301,1340
302,1642
303,2051
304,2117
305,2243
306,2272
307,2204
308,1629
309,1168
310,1020
311,1284
312,1322
313,1569
314,1822
315,2059
316,2280
317,2244
318,2111
319,1744
320,1074
321,969
322,1000
323,1244
324,1559
325,1861
326,2040
327,2245
328,2063
329,2031
330,2041
331,1204
332,1005
333,1011
334,1217
335,1544
336,1895
337,1968
338,2343
339,2040
340,1987
341,2097
342,1287
343,1016
344,1010
345,1108
346,1401
347,1610
348,2013
349,2123
350,2269
351,2185
352,2193
353,1453
354,1018
355,1033
356,1145
357,1445
358,1709
359,2037
360,2171
361,2111
362,2174
363,1958
364,1546
365,1159
366,1079
367,961
368,1295
369,1671
370,1770
371,2234
372,2179
373,2209
374,2003
375,1760
376,1135
377,971
378,1107
379,1362
380,1617
381,1878
382,2051
383,2351
384,2200
385,1990
386,1896
387,1221
388,1023
389,1006
390,1344
391,1506
392,1802
393,1974
394,2226
395,2222
396,2002
397,2119
398,1226
399,1028
400,990
401,1155
402,1475
403,1768
404,2101
405,2240
406,2320
407,2120
408,2073
409,1476
410,1135
411,1022
412,1212
413,1400
414,1669
415,1872
416,2205
417,2221
418,2108
419,2111
420,1512
421,1063
422,965
423,1193
424,1500
425,1760
426,1877
427,2157
428,2241
429,2064
430,2152
431,1648
432,943
433,979
434,1195
435,1304
436,1537
437,1783
438,2086
439,2304
440,2174
441,2064
442,1772
443,1201
444,956
445,1053
446,1238
447,1602
448,1904
449,2054
450,2201
451,2232
452,2175
453,2232
454,1243
455,972
456,934
457,1223
458,1395
459,1630
460,1914
461,2205
462,2086
463,2070
464,1981
465,1374
466,1087
467,979
468,1098
469,1470
470,1826
471,1843
472,1995
473,2315
474,2004
475,2051
476,1501
477,1007
478,1133
479,1153
480,1539
481,1650
482,1873
483,2222
484,2233
485,2219
486,2070
487,1483
488,1049
489,898
490,975
491,1390
492,1658
493,1869
494,2181
495,2220
496,2256
497,2074
498,1738
499,1096
500,1060
501,1131
502,1242
503,1516
504,1752
505,2197
506,2224
507,2132
508,2214
509,1834
510,1100
511,998
512,1162
513,1326
514,1627
515,1814
516,2211
