Frame,Mean
0,1805.4231
1,1789.8462
2,1888.9615
3,2176.5769
4,2450.6155
5,2777.9614
6,3088.3845
7,3371.3845
8,3423.8076
9,3409.6155
10,2939.8076
11,2478.3845
12,1947.7307
13,1803.0385
14,1856.5769
15,1946.3846
16,2286.7307
17,2511.4231
18,2864.1538
19,3174.2693
20,3454.6155
21,3475.5
22,3502.2307
23,2782.2693
24,2463.4231
25,2093.1538
26,1819.5
27,1816.8846
28,1922.6923
29,2192
30,2472.4614
31,2755
32,3116.1155
33,3352.8076
34,3522.8845
35,3452.5769
36,2922.5386
37,2394.1538
38,1887.1923
39,1851.7307
40,1798.2693
41,2025.2307
42,2241.0769
43,2595.8462
44,2906.0769
45,3208.5386
46,3468.4614
47,3435.6155
48,3375.5
49,2699.8462
50,2111.1538
51,1891.3077
52,1758.8846
53,1928.9615
54,2128.9231
55,2429.6538
56,2686.6538
57,3104.1924
58,3357.9614
59,3505.8845
60,3479.8462
61,3013.6924
62,2579.7307
63,2282.8845
64,1910.9231
65,1793.1154
66,1835.9615
67,2075
68,2327.2693
69,2602.8076
70,2963.4614
71,3231.1538
72,3500.1155
73,3514.7307
74,3437.9231
75,2685.9231
76,2352.1924
77,1879.3846
78,1836.3846
79,1852.6154
80,2034.8077
81,2298.0386
82,2565.8845
83,2935.0386
84,3226.8845
85,3508.7693
86,3473.5386
87,3398.8845
88,2688.8845
89,2219.2693
90,1876.9231
91,1791
92,1842.8462
93,2139.2307
94,2408.8076
95,2674.1155
96,2973.1155
97,3313.0386
98,3482.2693
99,3463.3845
100,3217.4231
101,2580.8076
102,2036.6538
103,1834.3846
104,1822.3077
105,1934.3846
106,2246.8076
107,2510.8076
108,2819.9231
109,3128.5769
110,3389.7693
111,3415.8076
112,3416.7307
113,2754.7307
114,2450.7307
115,2018.3077
116,1830.5769
117,1819.8846
118,1944.6154
119,2175.1155
120,2492.1538
121,2793.5769
122,3102
123,3364.6924
124,3450.4614
125,3421.4614
126,2861.8076
127,2340.4614
128,1937.1154
129,1801.6154
130,1870.6538
131,2087.8845
132,2332.7693
133,2624.0386
134,2937.3076
135,3262.0769
136,3455.9614
137,3457.3462
138,3317.9231
139,2663.5
140,2420.3462
141,1946.3846
142,1757.2307
143,1777.8077
144,1933.8077
145,2204.4231
146,2502.7307
147,2847.2307
148,3176.5769
149,3423.2307
150,3503.8462
151,3483.5
152,2761
153,2338.2307
154,1939
155,1801.1923
156,1855.4615
157,2060.3845
158,2343.5386
159,2682.0769
160,2969.7307
161,3234.0386
162,3462.5769
163,3341.1538
164,3178.1155
165,2523.4614
166,2104.8845
167,1794.4231
168,1770.6923
169,1868.6923
170,2083.9231
171,2403.8462
172,2707.6155
173,3064.8076
174,3317.2307
175,3467.7307
176,3446.4614
177,2944.3462
178,2528.3462
179,2236.9231
180,1933.1923
181,1716.6154
182,1814.1154
183,1974.2693
184,2285.1924
185,2622.0769
186,2900.4614
187,3212.2693
188,3466.2307
189,3480.1155
190,3398.5
191,2619.5
192,2143.7693
193,1828.0385
194,1814
195,1861.4615
196,2136.8462
197,2347.2307
198,2689.7693
199,3030.3845
200,3267.9614
201,3424.9614
202,3419.1924
203,2993.0769
204,2479.5769
205,2261.8845
206,1848.3077
207,1788.9615
208,1885.6538
209,2104.7307
210,2392
211,2656.4231
212,3020.3462
213,3240.2307
214,3481.7307
215,3449.0769
216,3160.5769
217,2542.8462
218,2070.3462
219,1854.1154
220,1781.6538
221,1894.1154
222,2144.5769
223,2415.8462
224,2678.3076
225,3017.2307
226,3350.7307
227,3490.0769
228,3433.3845
229,2966.2693
230,2477.0386
231,1945.1154
232,1817.2307
233,1814.0769
234,1997.8846
235,2242.2307
236,2528.7307
237,2843.5386
238,3154.8462
239,3396.8076
240,3447.9614
241,3421.8845
242,2771.4231
243,2409.4231
244,1894.8462
245,1803.0769
246,1771.8077
247,1980.6923
248,2275.7693
249,2549.0386
250,2883.3076
251,3153.5769
252,3425.0769
253,3478.3076
254,3429.1155
255,2755.0769
256,2178.6155
257,1874.3077
258,1798.5769
259,1897.1923
260,2140.3845
261,2457.9614
262,2707.1538
263,3025.3845
264,3311.9614
265,3447.4231
266,3407.2693
267,2919.3462
268,2407.7307
269,1917.6923
270,1811.9231
271,1825.1154
272,2047.5385
273,2272.9614
274,2598.6924
275,2914.6924
276,3206.0769
277,3468.4231
278,3465.8845
279,3263.7693
280,2627.1924
281,2210.1538
282,1852.7693
283,1755.6154
284,1901.5
285,2087.6155
286,2400.6924
287,2709.1155
288,3004.2693
289,3301.6155
290,3481.0769
291,3443.0769
292,3060.0769
293,2504.7307
294,1994.3846
295,1839.5769
296,1797.5
297,1985.7307
298,2255.6155
299,2499
300,2773.6924
301,3068.1155
302,3354.0386
303,3502.8076
304,3414.5386
305,2814.6155
306,2475.7693
307,2213.8845
308,1872.3077
309,1800.0385
310,1824.9231
311,2076.2307
312,2342.8076
313,2644
314,2956.9231
315,3295.5
316,3475.3845
317,3482.0769
318,3226.4614
319,2638.6924
320,2060.4614
321,1837.2693
322,1806.4615
323,1942.3462
324,2136.3462
325,2481.0769
326,2752.0769
327,3054.6155
328,3359.1924
329,3462.4231
330,3371.1538
331,2965.1155
332,2475.8076
333,2029
334,1836.8077
335,1786.2307
336,1891.1538
337,2166.9614
338,2452.2307
339,2739.5
340,3037.6924
341,3382
342,3413.4614
343,3398.0769
344,2860.8845
345,2306.6538
346,1896.3846
347,1822.6538
348,1803.3462
349,2024.1538
350,2255.5769
351,2517.0769
352,2855.1538
353,3142.1924
354,3424.9614
355,3449.7693
356,3351.5769
357,2686.7307
358,2419.1155
359,2066.6538
360,1782.4615
361,1762.4231
362,1921.5
363,2166.1538
364,2443.6155
365,2758.4231
366,3067.6538
367,3350.4614
368,3433.3462
369,3424.0386
370,3012.8845
371,2414.6924
372,1927.6923
373,1810.9231
374,1796.7307
375,1967.4615
376,2191.4231
377,2494
378,2815.2693
379,3104.9231
380,3401.1155
381,3449.5
382,3373.3076
383,2747.7307
384,2365.0386
385,1911.6538
386,1783.5385
387,1823.5
388,1989.5769
389,2300.3076
390,2545.3076
391,2907.2693
392,3148
393,3447.1924
394,3445.5
395,3377.7693
396,2629.1924
397,2126.2693
398,1844.5769
399,1816.5769
400,1990.5769
401,2140.9231
402,2434.6155
403,2740.5769
404,3070.1924
405,3349.8462
406,3443.0769
407,3359.8076
408,2833.2693
409,2464.1155
410,2220.9231
411,1827.6923
412,1813.6154
413,1814.9231
414,2046.0769
415,2311.5
416,2599.8845
417,2895.9231
418,3243.1155
419,3489.7307
420,3461.0769
421,3368.2693
422,2625.3076
423,2412.4231
424,1965.3846
425,1770.6923
426,1791.3846
427,1887.7693
428,2141.6924
