Frame,Mean
1,1813
2,1470
3,1333
4,1545
5,1886
6,2069
7,2306
8,2712
9,2352
10,2418
11,1919
12,1521
13,1341
14,1340
15,1442
16,1629
17,2173
18,2325
19,2503
20,2600
21,2525
22,2376
23,1988
24,1646
25,1420
26,1359
27,1488
28,1673
29,1990
30,2132
31,2376
32,2625
33,2554
34,2489
35,2201
36,1557
37,1552
38,1367
39,1474
40,1512
41,1865
42,2183
43,2413
44,2579
45,2548
46,2540
47,2475
48,1857
49,1490
50,1385
51,1422
52,1489
53,1676
54,1742
55,2115
56,2330
57,2359
58,2499
59,2470
60,2284
61,1571
62,1435
63,1398
64,1482
65,1638
66,1918
67,2200
68,2440
69,2532
70,2582
71,2376
72,2331
73,1747
74,1574
75,1372
76,1387
77,1518
78,1710
79,2026
80,2293
81,2455
82,2546
83,2432
84,2327
85,1928
86,1407
87,1522
88,1426
89,1448
90,1788
91,1911
92,2205
93,2448
94,2541
95,2538
96,2411
97,2119
98,1522
99,1474
100,1422
101,1450
102,1662
103,1910
104,2321
105,2393
106,2596
107,2507
108,2443
109,2269
110,1736
111,1403
112,1399
113,1393
114,1546
115,1725
116,2168
117,2359
118,2456
119,2621
120,2444
121,2310
122,1735
123,1569
124,1447
125,1462
126,1557
127,1877
128,2257
129,2362
130,2492
131,2342
132,2559
133,2275
134,2170
135,1588
136,1430
137,1450
138,1438
139,1678
140,1926
141,2244
142,2502
143,2527
144,2480
145,2420
146,2180
147,1624
148,1413
149,1351
150,1367
151,1599
152,1991
153,2082
154,2333
155,2439
156,2484
157,2549
158,2444
159,1888
160,1399
161,1425
162,1343
163,1495
164,1905
165,2096
166,2106
167,2332
168,2415
169,2464
170,2422
171,2348
172,1634
173,1460
174,1427
175,1418
176,1671
177,1919
178,2173
179,2360
180,2568
181,2378
182,2482
183,2294
184,1643
185,1411
186,1335
187,1460
188,1631
189,1829
190,2229
191,2253
192,2379
193,2424
194,2342
195,2379
196,1890
197,1527
198,1452
199,1270
200,1650
201,1750
202,1997
203,2358
204,2535
205,2476
206,2467
207,2315
208,2026
209,1522
210,1377
211,1406
212,1588
213,1605
214,1888
215,2281
216,2527
217,2516
218,2418
219,2560
220,2044
221,1524
222,1445
223,1331
224,1571
225,1767
226,1978
227,2329
228,2536
229,2535
230,2436
231,2373
232,2254
233,1479
234,1409
235,1390
236,1388
237,1707
238,2007
239,2193
240,2278
241,2492
242,2591
243,2505
244,2356
245,1757
246,1495
247,1301
248,1488
249,1611
250,1773
251,2048
252,2246
253,2489
254,2556
255,2399
256,2282
257,1888
258,1330
259,1432
260,1433
261,1460
262,1704
263,1933
264,2203
265,2490
266,2566
267,2417
268,2501
269,2270
270,1413
271,1445
272,1393
273,1518
274,1600
275,1838
276,2264
277,2337
278,2427
279,2460
280,2424
281,2404
282,1568
283,1508
284,1377
285,1475
286,1690
287,1862
288,2150
289,2343
290,2431
291,2547
292,2428
293,2179
294,1810
295,1444
296,1367
297,1324
298,1552
299,1754
300,2185
301,2302
302,2469
303,2463
304,2502
305,2473
306,1820
307,1522
308,1443
309,1412
310,1453
311,1689
312,1998
313,2239
314,2353
315,2537
316,2543
317,2428
318,2158
319,1524
320,1433
321,1455
322,1539
323,1556
324,2017
325,2151
326,2342
327,2577
328,2385
329,2558
330,2360
331,1739
332,1434
333,1416
334,1412
335,1613
336,1770
337,2043
338,2422
339,2501
340,2353
341,2446
342,2371
343,1884
344,1327
345,1435
346,1337
347,1480
348,1637
349,2036
350,2219
351,2363
352,2585
353,2318
354,2299
355,2089
356,1610
357,1367
358,1462
359,1448
360,1687
361,1883
362,2136
363,2327
364,2504
365,2444
366,2487
367,2314
368,1781
369,1442
370,1505
371,1374
372,1531
373,1851
374,2082
375,2382
376,2543
377,2508
378,2552
379,2369
380,1846
381,1623
382,1402
383,1411
384,1639
385,1677
386,1941
387,2310
388,2380
389,2490
390,2486
391,2307
392,2161
393,1670
394,1507
395,1456
396,1449
397,1685
398,1866
399,2254
400,2388
401,2422
402,2496
403,2425
404,2216
405,1661
406,1406
407,1414
408,1425
409,1556
410,1718
411,2099
412,2372
413,2597
414,2593
415,2437
416,2318
417,1792
418,1441
419,1390
420,1394
421,1515
422,1712
423,2020
424,2252
425,2342
426,2421
427,2495
428,2503
429,1932
430,1564
431,1392
432,1335
433,1500
434,1625
435,2082
436,2211
437,2508
438,2428
439,2298
440,2542
441,2305
442,1619
443,1447
444,1437
445,1475
446,1529
447,1816
448,2018
449,2516
450,2395
451,2457
452,2609
453,2437
454,1963
455,1428
456,1437
457,1479
458,1510
459,1804
460,2105
461,2209
462,2448
463,2618
464,2453
465,2360
466,2116
467,1581
468,1420
469,1405
470,1448
471,1531
472,1840
473,2105
474,2266
475,2464
476,2516
477,2573
478,2377
479,1809
480,1522
481,1309
482,1389
483,1527
