Frame,Mean
0,1792.875
1,1645.625
2,1609.875
3,1740.375
4,1871.5
5,2094.125
6,2395.5
7,2551.75
8,2567.125
9,2573.125
10,2509.75
11,2163.375
12,1723.625
13,1638.75
14,1663.875
15,1750.5
16,1969.5
17,2209.875
18,2361.5
19,2580.125
20,2561.375
21,2624.5
22,2421.125
23,2036
24,1713
25,1637.25
26,1682.125
27,1820.125
28,1974.5
29,2189.875
30,2415.5
31,2583.625
32,2621.5
33,2571.625
34,2320.25
35,1771.625
36,1655.875
37,1558.375
38,1733.125
39,1837.625
40,2103.875
41,2329.375
42,2485.125
43,2522.25
44,2542.75
45,2458.125
46,2079.375
47,1761.25
48,1655.75
49,1636.5
50,1692.375
51,1891.875
52,2189.25
53,2371.375
54,2587.375
55,2560.875
56,2546.375
57,2389.625
58,1924.625
59,1647.875
60,1622.375
61,1623.875
62,1807.5
63,2064.125
64,2254.125
65,2420.125
66,2526.25
67,2542.5
68,2467.125
69,2215.375
70,1746.5
71,1662.375
72,1643
73,1709.375
74,1884.625
75,2079.125
76,2333.25
77,2489.75
78,2578.875
79,2505.75
80,2432.5
81,2122
82,1682.625
83,1628.625
84,1659.5
85,1748
86,1917.625
87,2198.125
88,2428.875
89,2521.875
90,2572.5
91,2521.25
92,2390.75
93,1882.375
94,1660.125
95,1642
96,1693
97,1766.375
98,2006.875
99,2254.625
100,2411.5
101,2527.375
102,2636.125
103,2554.75
104,2248.875
105,1795
106,1675.75
107,1619.375
108,1729.25
109,1806.125
110,2100.375
111,2317.25
112,2433.25
113,2584.125
114,2598.75
115,2496
116,2079.875
117,1709.5
118,1689.375
119,1608.625
120,1714.125
121,1886.25
122,2062.25
123,2425.375
124,2511.625
125,2640.25
126,2540.875
127,2350.375
128,1897
129,1661.25
130,1588.375
131,1683.25
132,1844.75
133,1962.5
134,2219.375
135,2421.5
136,2592.375
137,2554
138,2505.75
139,2249.75
140,1702.375
141,1660.5
142,1675.625
143,1701.625
144,1830.625
145,2096.125
146,2348
147,2469.625
148,2600.25
149,2614.375
150,2484.5
151,2032.25
152,1676.625
153,1653.75
154,1634.625
155,1718.75
156,1830.25
157,2042.75
158,2328
159,2528.625
160,2609.25
161,2587.875
162,2303.375
163,1917.125
164,1667.25
165,1669.5
166,1688.875
167,1767.625
168,2057.375
169,2216.25
170,2400.75
171,2573.125
172,2603.125
173,2515.75
174,2239.625
175,1745
176,1638.75
177,1631.125
178,1718.5
179,1814.875
180,1992.875
181,2317
182,2514.125
183,2548.25
184,2557.125
185,2464.125
186,2002.5
187,1676.25
188,1630.5
189,1599
190,1755.75
191,1893.25
192,2254.75
193,2420
194,2496.375
195,2624.75
196,2464.5
197,2256.125
198,1858.625
199,1672.875
200,1603.125
201,1627.625
202,1898.375
203,2063.125
204,2310.625
205,2451.75
206,2550
207,2512.125
208,2428.25
209,2094
210,1732.875
211,1627.875
212,1537.25
213,1725.875
214,1916.625
215,2189.375
216,2420.125
217,2475.875
