Frame,Mean
1,2398.500
2,2371.750
3,2276.250
4,2389.000
5,2437.750
6,2191.250
7,1975.750
8,1565.000
9,1493.000
10,1447.000
11,1522.000
12,1664.250
13,1885.250
14,2060.750
15,2286.000
16,2392.000
17,2326.000
18,2278.000
19,2426.750
20,2256.500
21,2092.000
22,1855.000
23,1497.500
24,1426.250
25,1471.750
26,1555.750
27,1760.000
28,1931.500
29,2232.750
30,2445.000
31,2429.500
32,2387.750
33,2346.000
34,2378.250
35,2181.250
36,2024.250
37,1792.000
38,1490.250
39,1359.750
40,1464.250
41,1578.250
42,1748.500
43,1969.000
44,2205.750
45,2405.000
46,2380.000
47,2280.000
48,2396.750
49,2389.250
50,2152.250
51,1998.250
52,1602.750
53,1410.500
54,1474.250
55,1461.500
56,1687.750
57,1882.500
58,2063.000
59,2256.750
60,2425.750
61,2346.000
62,2351.500
63,2476.000
64,2224.750
65,2059.000
66,1912.750
67,1565.500
68,1437.000
69,1388.750
70,1508.750
71,1586.500
72,1826.250
73,1952.750
74,2242.250
75,2423.250
76,2350.500
77,2354.750
78,2524.250
79,2245.500
80,2096.750
81,1887.250
82,1571.000
83,1408.500
84,1440.000
85,1535.250
86,1708.500
87,1908.250
88,2070.250
89,2206.500
90,2450.500
91,2328.750
92,2368.250
93,2401.500
94,2216.250
95,2020.000
96,1753.250
97,1456.750
98,1482.750
99,1438.250
100,1608.500
101,1873.250
102,2075.000
103,2232.000
104,2350.500
105,2358.750
106,2351.000
107,2424.750
108,2323.500
109,2047.000
110,1910.250
111,1514.250
112,1446.750
113,1503.500
114,1539.250
115,1715.500
116,1942.750
117,2132.250
118,2260.500
119,2395.750
120,2295.750
121,2331.250
122,2472.250
123,2191.500
124,2028.500
125,1737.000
126,1470.000
127,1408.250
128,1471.250
129,1655.500
130,1831.000
131,2038.000
132,2326.750
133,2420.250
134,2336.500
135,2333.500
136,2396.750
137,2349.500
138,2139.250
139,1926.750
140,1641.000
141,1405.250
142,1464.000
143,1453.000
144,1671.250
145,1881.500
146,1982.250
147,2305.750
148,2385.000
149,2329.750
150,2308.750
151,2478.500
152,2283.500
153,2073.250
154,1903.750
155,1504.750
156,1376.250
157,1442.000
158,1532.500
159,1692.250
160,1906.500
161,2083.500
162,2264.500
163,2377.750
164,2455.750
165,2491.750
166,2487.250
167,2074.750
168,1934.750
169,1735.750
170,1491.750
171,1419.000
172,1472.250
173,1667.750
174,1814.250
175,2065.000
176,2215.000
177,2464.000
178,2375.750
179,2347.250
180,2420.500
181,2375.750
182,2076.750
183,2010.750
184,1662.250
185,1419.250
186,1387.250
187,1453.750
188,1599.250
189,1793.000
190,2064.250
191,2210.250
192,2372.250
193,2348.750
194,2363.500
195,2399.000
196,2324.250
197,2096.500
198,1926.250
199,1593.750
200,1434.250
201,1472.750
202,1495.750
203,1626.000
204,1846.000
205,2078.000
206,2317.000
207,2375.250
208,2424.750
209,2399.500
210,2393.500
211,2217.500
212,1976.000
213,1806.750
214,1489.500
215,1405.500
216,1465.250
217,1546.250
218,1753.750
219,1875.250
220,2193.750
221,2303.500
222,2376.250
223,2312.500
224,2398.000
225,2336.500
226,2177.250
227,2022.250
228,1701.000
229,1430.250
230,1418.250
231,1415.750
232,1553.750
233,1760.750
234,1988.500
235,2169.250
236,2399.500
237,2338.000
238,2284.750
239,2405.000
240,2320.750
241,2134.000
242,1975.000
243,1618.250
244,1399.250
245,1429.000
246,1470.000
247,1643.750
248,1808.500
249,2038.500
250,2190.000
251,2335.750
252,2364.750
253,2310.250
254,2390.750
255,2299.750
256,2071.500
257,1913.750
258,1536.250
259,1433.250
260,1491.000
261,1539.000
262,1717.250
263,1930.250
264,2137.000
265,2253.250
266,2464.250
267,2301.750
268,2339.750
269,2418.750
270,2280.250
271,1989.750
272,1651.750
273,1466.500
274,1446.000
275,1505.250
276,1629.250
277,1762.250
278,2050.000
279,2250.000
280,2411.500
281,2306.750
282,2296.750
283,2400.500
284,2304.000
285,2124.500
286,1979.250
287,1551.500
288,1417.250
289,1447.000
290,1546.250
291,1697.750
292,1824.000
293,2134.250
294,2284.000
295,2395.500
296,2366.500
297,2399.500
298,2426.250
299,2180.000
300,2136.000
301,1742.750
302,1486.000
303,1420.500
304,1506.750
305,1623.250
306,1794.500
307,2055.250
308,2133.000
309,2392.250
310,2388.250
311,2299.250
312,2322.000
313,2349.750
314,2112.750
315,1953.500
316,1578.750
317,1491.750
318,1473.750
319,1485.250
320,1713.500
321,1886.000
322,2055.750
323,2352.750
324,2434.250
325,2357.750
326,2380.250
327,2447.000
328,2188.500
329,2042.500
330,1919.000
331,1522.000
332,1391.000
333,1445.000
334,1533.500
335,1688.500
336,1875.500
337,2086.250
338,2329.750
339,2444.000
340,2282.500
341,2434.000
342,2419.750
343,2211.750
344,1999.750
345,1682.500
346,1477.750
347,1447.750
348,1511.000
349,1656.000
350,1835.500
351,2001.750
352,2271.000
353,2424.500
354,2366.000
355,2298.250
356,2456.750
357,2288.500
358,2081.250
359,1920.250
360,1582.250
361,1431.250
362,1427.500
363,1533.250
364,1630.000
365,1783.000
366,2025.250
367,2321.250
368,2360.000
369,2377.250
370,2388.250
371,2441.750
372,2311.750
373,2033.750
374,1851.000
375,1557.750
