Frame,Mean
0,1534.625
1,1595.75
2,1801.875
3,1918.125
4,2045.875
5,2112.375
6,2121
7,2086.75
8,1834.75
9,1745.375
10,1652.25
11,1616.5
12,1544.875
13,1457.125
14,1216.875
15,1202.125
16,1183
17,1348.5
18,1520.125
19,1643.375
20,1786.5
21,1988.625
22,2033.875
23,2105
24,2072.5
25,2059.875
26,1859.375
27,1772
28,1661
29,1608.75
30,1585.125
31,1470.75
32,1253.375
33,1183.75
34,1168.875
35,1385
36,1545.75
37,1701.625
38,1875.125
39,2014
40,2136.25
41,2072.375
42,2062.625
43,2012.5
44,1917.5
45,1711.875
46,1665.625
47,1596.5
48,1499.75
49,1283.375
50,1235.25
51,1193.625
52,1353
53,1533.25
54,1598.375
55,1765.25
56,1967.375
57,2046
58,2187
59,2136.25
60,2056
61,1856.5
62,1793
63,1623.25
64,1616.25
65,1559.875
66,1439.75
67,1268.625
68,1222.75
69,1157.5
70,1298.75
71,1439.75
72,1694.5
73,2107.625
74,2448
75,2603.125
76,2493.375
77,2117
78,2003.875
79,1861.75
80,1708.75
81,1674.875
82,1628.5
83,1515.125
84,1433.125
85,1269.25
86,1200.375
87,1215.75
88,1447.25
89,1564.875
90,1663.875
91,1778.25
92,1970.25
93,2117.75
94,2075.875
95,2073.375
96,1957.625
97,1838.625
98,1680
99,1669.375
100,1629.75
101,1546.75
102,1309
103,1217.5
104,1118.875
105,1292.125
106,1483.375
107,1712
108,2113.375
109,2405.25
110,2566.625
111,2457.125
112,2182.375
113,2067
114,1902.5
115,1716.125
116,1676.375
117,1665.375
118,1592.625
119,1325.375
120,1238
121,1232.625
122,1405.125
123,1577.875
124,1666.875
125,1853.5
126,2014
127,2117.875
128,2158.625
129,2096.625
130,2014.125
131,1847.625
132,1700.25
133,1652.25
134,1606.125
135,1601.25
136,1558.75
137,1464.125
138,1294.875
139,1193.25
140,1191.375
141,1372.125
142,1538.125
143,1797.25
144,2199.625
145,2404.875
146,2427.5
147,2315.25
148,2100.5
149,1990.125
150,1756.875
151,1658.875
152,1651.25
153,1537.875
154,1503.375
155,1295.25
156,1267.75
157,1227
158,1352.125
159,1501.625
160,1590.375
161,1776.375
162,1953.75
163,2046.625
164,2156.625
165,2117
166,2009.125
167,1833
168,1767.875
169,1700.875
170,1601
171,1583
172,1356.5
173,1239.625
174,1206.125
175,1328.125
176,1526.5
177,1571.625
178,1744.375
179,1948.5
180,2119.25
181,2121.5
182,2052.75
183,2059.75
184,1888.625
185,1751.875
186,1706.375
187,1627.5
188,1592.75
189,1502.375
190,1330.5
191,1207.5
192,1192.875
193,1241
194,1446.25
195,1572.625
196,1658.875
197,1785.125
198,1985.875
199,2167.125
200,2088
201,2090.125
202,1862.125
203,1836
204,1706.5
205,1643.75
206,1608
207,1535.125
208,1490.875
209,1386.75
210,1216.25
211,1221.125
212,1299.375
213,1420.625
214,1495.5
215,1675.625
216,1801.875
217,2029.375
218,2158.5
219,2098.125
220,2030.125
221,1920
222,1774.625
223,1710.375
224,1644.625
225,1554.5
226,1486.125
227,1329.75
228,1181.625
229,1221.125
230,1272.375
231,1470
232,1542.875
233,1708.125
234,1879.125
235,2029.75
236,2170.375
237,2125.375
238,2056.25
239,1944.75
240,1829.5
241,1635.875
242,1619.75
243,1508.75
244,1591.875
245,1587.25
246,1500.75
247,1299.625
248,1230.125
249,1203.25
250,1318.75
251,1443.25
252,1517.25
253,1728.875
254,1892.625
255,2084.375
256,2111
257,2048.625
258,1971.5
259,1855.75
260,1735.25
261,1675.25
262,1632.125
263,1500
264,1288
265,1224.625
266,1214.125
267,1368.875
268,1510
269,1584.25
270,1770.25
271,1898.625
272,2092.875
273,2123.875
274,2103.125
275,1996.5
276,1788
277,1661.125
278,1561.125
279,1611.25
280,1506.625
281,1357.75
282,1299.5
283,1223.625
284,1278.125
285,1491.25
286,1484.125
287,1652.75
288,1872
289,2120.875
290,2109.5
291,2049.125
292,1936.5
293,1872.875
294,1716.625
295,1666.25
296,1657.75
297,1621.75
298,1532.375
299,1357.625
300,1207.25
301,1200.625
302,1296.5
303,1510.125
304,1577.375
305,1687.75
306,1848.375
307,2040.375
308,2060.75
309,1999.75
310,1932.25
311,1841.75
312,1715.625
313,1638.625
314,1592.125
315,1552.125
316,1466.875
317,1302.875
318,1253.625
319,1172.5
320,1323.875
321,1500.75
322,1519
323,1674.25
324,1858.625
325,2095
326,2059.375
327,2035.25
328,1994.5
329,1802.75
330,1731.875
331,1697
332,1605.375
