Frame,Mean
1,1969
2,1550
3,1196
4,1078
5,1132
6,1268
7,1569
8,1779
9,2021
10,2047
11,2153
12,1941
13,1875
14,1266
15,1090
16,1128
17,1182
18,1470
19,1697
20,1741
21,2094
22,2142
23,2022
24,2036
25,1737
26,1312
27,1066
28,1016
29,1284
30,1394
31,1766
32,1919
33,2129
34,2110
35,1946
36,1832
37,1610
38,1092
39,1073
40,1187
41,1260
42,1394
43,1656
44,1964
45,2234
46,2133
47,2028
48,1973
49,1349
50,1078
51,974
52,1115
53,1400
54,1614
55,1788
56,1918
57,2112
58,1908
59,1961
60,1930
61,1253
62,1118
63,1099
64,1215
65,1521
66,1590
67,1816
68,2029
69,2044
70,2028
71,1818
72,1637
73,1197
74,1140
75,1110
76,1192
77,1418
78,1586
79,1879
80,1946
81,2186
82,2043
83,1977
84,1570
85,1248
86,1025
87,1165
88,1260
89,1403
90,1592
91,1746
92,2083
93,2133
94,2033
95,1971
96,1477
97,1074
98,1030
99,1072
100,1289
101,1522
102,1630
103,1789
104,2169
105,2083
106,2034
107,1961
108,1391
109,1124
110,1082
111,1040
112,1354
113,1601
114,1700
115,1901
116,2098
117,2082
118,1912
119,1802
120,1350
121,1023
122,1007
123,1246
124,1400
125,1638
126,1753
127,1929
128,2245
129,2120
130,1889
131,1760
132,1205
133,1042
134,1120
135,1280
136,1394
137,1747
138,1912
139,2055
140,1969
141,1880
142,1901
143,1610
144,1171
145,992
146,1103
147,1298
148,1518
149,1595
150,1789
151,1915
152,2058
153,1950
154,1982
155,1561
156,1127
157,1058
158,1134
159,1300
160,1476
161,1799
162,1824
163,1946
164,2107
165,1966
166,1986
167,1628
168,1206
169,1070
170,1065
171,1205
172,1430
173,1669
174,1916
175,2006
176,2129
177,2016
178,1906
179,1531
180,1030
181,1053
182,1127
183,1339
184,1543
185,1739
186,2097
187,2184
188,2223
189,2020
190,1967
191,1353
192,1061
193,959
194,1141
195,1322
196,1501
197,1784
198,2004
199,2088
200,2070
201,1897
202,1757
203,1328
204,1058
