Frame,Mean
0,1040.6364
1,954.0909
2,979
3,1089.4546
4,1250.5454
5,1325.4546
6,1500.4546
7,1714.6364
8,1756.1818
9,1735.6364
10,1601.5454
11,1513.6364
12,1324.0909
13,1226.4546
14,1182
15,1206.7273
16,1163.7273
17,1099.7273
18,1118.4546
19,1112.1818
20,1116
21,1106.2727
22,1087.6364
23,1096.3636
24,1007.8182
25,908.9091
26,992.4545
27,1104.9091
28,1287.9091
29,1413.0909
30,1605.7273
31,1718.2727
32,1752.2727
33,1754.8182
34,1581.9091
35,1415.7273
36,1307.7273
37,1239.8182
38,1183.3636
39,1164.8182
40,1169.6364
41,1164.3636
42,1159.1818
43,1122.6364
44,1105.2727
45,1114.4546
46,1093.4546
47,1097.1818
48,1015.2727
49,964.2727
50,977.9091
51,1077.9091
52,1232.6364
53,1385.1818
54,1494.8182
55,1693.7273
56,1725.1818
57,1728.6364
58,1645.5454
59,1491.1818
60,1332.7273
61,1251.3636
62,1239.0909
63,1163.5454
64,1217
65,1146.0909
66,1104.4546
67,1118.4546
68,1074.5454
69,1064.8182
70,1079.9091
71,1067.6364
72,1055.5454
73,996.6364
74,919.1818
75,964
76,1055.7273
77,1236.9091
78,1398
79,1505.9091
80,1682.0909
81,1761.5454
82,1804.8182
83,1667.6364
84,1473.5454
85,1338.4546
86,1283.6364
87,1202.1818
88,1152.5454
89,1123.4546
90,1121.7273
91,1111.6364
92,1121
93,1105.7273
94,1112.0909
95,1102.7273
96,977.9091
97,985.5455
98,1045.4546
99,1186
100,1338
101,1487.1818
102,1633
103,1752.6364
104,1792.8182
105,1695.4546
106,1580.3636
107,1327.7273
108,1302.1818
109,1222.0909
110,1184.2727
111,1148.5454
112,1137.1818
113,1123.5454
114,1117.2727
115,1106.1818
116,1103.3636
117,1055.1818
118,1049
119,974.7273
120,954.7273
121,1057.2727
122,1206.2727
123,1358.1818
124,1451.6364
125,1675.8182
126,1778.0909
127,1805.6364
128,1682.9091
129,1506.0909
130,1343.3636
131,1266.8182
132,1235.3636
133,1234.7273
134,1207.4546
135,1174.1818
136,1120.8182
137,1135.1818
138,1101.0909
139,1100.1818
140,1091.2727
141,1078.2727
142,1053.9091
143,994.1818
144,958
145,1026.5454
146,1157.7273
147,1314.5454
148,1414.4546
149,1651.5454
150,1775.4546
151,1759.4546
152,1695.9091
153,1566.6364
154,1402.7273
155,1331.7273
156,1250.6364
157,1239.6364
158,1171.3636
159,1187.6364
160,1116
161,1117
162,1124.7273
163,1105.0909
164,1123.8182
165,1090.5454
166,998.9091
167,969.6364
168,1039.9091
169,1166
170,1316.5454
171,1445.5454
172,1591.9091
173,1729.4546
174,1785
175,1753.2727
176,1645.9091
177,1426.2727
178,1315.2727
179,1243.5454
180,1235.3636
181,1188.2727
182,1175
183,1117.7273
184,1105.7273
185,1121
186,1063.1818
187,1095.0909
188,1091.6364
189,1061.2727
190,974.3636
191,919.0909
192,1060.9091
193,1157.6364
194,1354.9091
195,1491.1818
196,1650.3636
197,1728
198,1731.5454
199,1661.0909
200,1517.8182
201,1329.9091
202,1262.4546
203,1219.5454
204,1220.8182
205,1192
206,1177.9091
207,1144.9091
208,1177.8182
209,1092.8182
210,1096.4546
211,1072
212,1054.2727
213,971
214,1000.6364
215,1115.2727
216,1271.7273
217,1321.7273
218,1524.3636
219,1705.5454
220,1760.6364
221,1722.3636
222,1674.2727
223,1501.3636
224,1339.7273
225,1256.5454
226,1218.4546
227,1203.8182
228,1150.5454
229,1141.5454
230,1156.9091
231,1153.1818
232,1117
233,1102.9091
234,1109.6364
235,1081.7273
236,1081.2727
237,1031.6364
238,944.5455
239,1021.1818
240,1144.4546
241,1275.9091
242,1396.7273
243,1535.9091
244,1693.4546
245,1743.4546
246,1723.4546
247,1631.6364
248,1415
249,1303.2727
250,1222.4546
251,1196.9091
252,1175.3636
253,1171.6364
254,1147.5454
255,1093.6364
256,1134.7273
257,1089.4546
258,1075.3636
259,1052.1818
260,993.2727
261,968.1818
262,1011.5455
263,1139.8182
264,1263.6364
265,1384.9091
266,1558.6364
267,1723.7273
268,1749.3636
269,1709.8182
270,1616.7273
271,1408.0909
272,1260.5454
273,1234.1818
274,1233.4546
275,1220.3636
276,1199.4546
277,1159
278,1129.7273
279,1100.9091
280,1136.2727
281,1074.6364
282,1094.2727
283,1022.3636
284,980.4545
285,966.5455
286,1087.4546
287,1215.1818
288,1354.2727
289,1484.2727
290,1670.1818
291,1754.9091
292,1707.6364
293,1642.1818
294,1455.4546
295,1277.1818
296,1271.3636
297,1216.4546
298,1194.1818
299,1176.8182
300,1155.0909
301,1156.3636
302,1109.0909
303,1066.3636
304,1045.2727
305,1093.6364
306,1068.4546
307,1053.0909
308,1063.5454
309,1037.8182
310,1043
311,1030.7273
312,1026.7273
313,994.9091
314,1036.3636
