F,I
1,1256.5
2,1243.25
3,1245
4,1204.4375
5,1162
6,1064.5
7,936.25
8,858.4375
9,954.1875
10,1075.875
11,1238.6875
12,1369.875
13,1447.1875
14,1449.5625
15,1463.6875
16,1425.0625
17,1359.625
18,1302.5625
19,1277.9375
20,1227.3125
21,1219.4375
22,1171.375
23,1154.5
24,1130.625
25,1079.4375
26,1011.125
27,878.6875
28,924.5625
29,1035.5625
30,1192.875
31,1303.25
32,1407.4375
33,1437.8125
34,1446.1875
35,1460.625
36,1401.3125
37,1310.1875
38,1270.625
39,1292.8125
40,1229.8125
41,1210.375
42,1170.1875
43,1155
44,1117.375
45,1084.3125
46,982.3125
47,862.5625
48,849.5625
49,964.25
50,1068.25
51,1238.9375
52,1380.8125
53,1437.9375
54,1453.4375
55,1424.1875
56,1376.125
57,1302.3125
58,1289.625
59,1234.25
60,1240.1875
61,1192.8125
62,1178.3125
63,1154.1875
64,1143.5625
65,1038.0625
66,935.875
67,861.375
68,920.875
69,1060.8125
70,1238.1875
71,1365.3125
72,1411.5625
73,1467.25
74,1445.8125
75,1429.5625
76,1384.9375
77,1306.25
78,1268.3125
79,1229.6875
80,1230.5625
81,1198.9375
82,1187.0625
83,1160.3125
84,1150.8125
85,1113.3125
86,1069.8125
87,923.5625
88,843.0625
89,855.1875
90,1007.125
91,1169.75
92,1319.875
93,1406.5
94,1449.0625
95,1442.3125
96,1445
97,1392.625
98,1313.125
99,1273.5625
100,1187.1875
101,1206.3125
102,1193.0625
103,1164.875
104,1120.875
105,1062.1875
106,919.9375
107,874.5
108,965.0625
109,1084.3125
110,1264.25
111,1357.125
112,1444.4375
113,1461
114,1406.0625
115,1389
116,1365.875
117,1306.3125
118,1285.125
119,1214.375
120,1186.375
121,1195.25
122,1173.9375
123,1091.375
124,995.9375
125,857.9375
126,898.8125
127,1048.875
128,1171.1875
129,1316.75
130,1423.1875
131,1451.9375
132,1453.625
133,1419.5625
134,1396.8125
135,1328.5625
136,1276.3125
137,1244.6875
138,1209.125
139,1199.8125
140,1177.1875
141,1151.625
142,1056.4375
143,920.6875
144,872.625
145,964.9375
146,1109.625
147,1245.375
148,1411.1875
149,1418.1875
150,1456.5625
151,1420.625
152,1375.0625
153,1346.3125
154,1312.8125
155,1250.75
156,1230.3125
157,1248.4375
158,1197.3125
159,1138.5625
160,1133.375
161,1087.375
162,991.3125
163,901.1875
164,885.1875
165,991
166,1136.5625
167,1283.8125
168,1386.9375
169,1469.75
170,1463.375
171,1412.125
172,1371.9375
173,1316.5
174,1304.875
175,1241.1875
176,1209.5
177,1218.5625
178,1163.6875
179,1079.5
180,972.4375
181,843.125
182,917.5625
183,1059.5
184,1177.625
185,1338.8125
186,1418.875
187,1481.6875
188,1455.25
189,1402.875
190,1374.6875
191,1332.6875
192,1271.375
193,1280.4375
194,1216.75
195,1188.5
196,1148.6875
197,1115.0625
198,1030.4375
199,920.125
200,871.1875
201,916.75
202,1053.375
203,1234.1875
204,1376.625
205,1440.75
206,1465.75
207,1459.3125
208,1401.6875
209,1341.1875
210,1288.0625
211,1267.4375
212,1236.8125
213,1207.8125
214,1222.125
215,1206.75
216,1178.375
217,1144.8125
