Frame,Mean
0,1516
1,1433.7778
2,1356.5555
3,1188.6666
4,1042.2222
5,975.4445
6,995.7778
7,1212.3334
8,1423.8889
9,1602.5555
10,1731.3334
11,1838.5555
12,1851.5555
13,1784.4445
14,1518.8889
15,1460.4445
16,1324.6666
17,1095.7778
18,1046.7778
19,1072.2222
20,1115.1111
21,1266.7778
22,1487.1111
23,1656.1111
24,1591.5555
25,1635.4445
26,1567.2222
27,1640.4445
28,1379.2222
29,1398.7778
30,1221.6666
31,1038.3334
32,972.1111
33,884.3333
34,967.6667
35,1214.7778
36,1505
37,1649.3334
38,1765.8889
39,1810.6666
40,1743.1111
41,1597.8889
42,1437.1111
43,1371.1111
44,1198.4445
45,1117.7778
46,1073.6666
47,1141.3334
48,1210.3334
49,1391
50,1536.2222
51,1714.8889
52,1771.7778
53,1658
54,1541.1111
55,1457.5555
56,1390.6666
57,1335.3334
58,1137
59,1067
60,1073.6666
61,1117.7778
62,1234.5555
63,1409.5555
64,1558.5555
65,1682.8889
66,1775.7778
67,1756.4445
68,1686
69,1520.4445
70,1473.4445
71,1360.6666
72,1157.1111
73,1080.1111
74,1080.4445
75,1127.5555
76,1285.2222
77,1493.6666
78,1633.8889
79,1722.6666
80,1827
81,1708.5555
82,1694.7778
83,1497.2222
84,1389.3334
85,1224.5555
86,1102.3334
87,1084.4445
88,1073.6666
89,1139.1111
90,1329.5555
91,1523.4445
92,1689
93,1798
94,1829.7778
95,1773.7778
96,1691.3334
97,1515.4445
98,1344.2222
99,1154.5555
100,1024.7778
101,1075.5555
102,1106.4445
103,1211.4445
104,1441.4445
105,1558.6666
106,1749.4445
107,1855.8889
108,1787.1111
109,1758.8889
110,1610.4445
111,1483.7778
112,1270.2222
113,1087.8889
114,1043.5555
115,1116.4445
116,1104.7778
117,1244.7778
118,1441.8889
119,1621.5555
120,1743.3334
121,1864.6666
122,1943
123,1623.5555
124,1352.7778
125,1275.3334
126,1312.6666
127,1097.1111
128,1039.1111
129,1117.5555
130,1103.5555
131,1163.3334
132,1302
133,1449.2222
134,1798.6666
135,1767.5555
136,1831.6666
137,1621.7778
138,1555.7778
139,1386.1111
140,1206.7778
141,972.8889
142,1058
143,1090.8889
144,1158.3334
145,1223.4445
146,1309.7778
147,1350.1111
148,1504.3334
149,1731
150,1719.4445
151,1554.3334
152,1466.2222
153,1418
154,1196.1111
155,1087.6666
156,1077.2222
157,1114.3334
158,1232.1111
159,1406.7778
160,1564.8889
161,1685.3334
162,1773
163,1843.4445
164,1642.1111
165,1442.4445
166,1470.7778
167,1407.8889
168,1118.4445
169,1075.3334
170,1100.5555
171,1106.6666
172,1171.6666
173,1367.3334
174,1543.1111
175,1682.1111
176,1801.1111
177,1760.3334
178,1701.1111
179,1434.1111
180,1428.2222
181,1330.4445
182,1145.8889
183,1073.8889
184,1059.2222
185,1142.5555
186,1245.6666
187,1489.4445
188,1641.8889
189,1774.7778
190,1807.2222
191,1807.1111
192,1697.7778
193,1499.7778
