F,I
1,740.8125
2,774.375
3,859.4375
4,955.25
5,1079.6875
6,1146.625
7,1186.125
8,1202.5
9,1189.0625
10,1155.25
11,1056.125
12,982.75
13,937.75
14,889.0625
15,780.4375
16,697.875
17,712.125
18,784.75
19,893.8125
20,1004.875
21,1110.0625
22,1175.4375
23,1187.625
24,1196.375
25,1187.875
26,1141.6875
27,1050.3125
28,979.75
29,968.625
30,880.375
31,774.375
32,708.25
33,751.125
34,787.8125
35,891.0625
36,988.8125
37,1094.25
38,1159.9375
39,1200.4375
40,1215.375
41,1218
42,1157.6875
43,1067.875
44,1001.1875
45,916
46,883
47,772.25
48,703.3125
49,715.375
50,788.0625
51,863.75
52,992.875
53,1066.375
54,1136.3125
55,1188.6875
56,1186.9375
57,1213.375
58,1117.0625
59,1051.4375
60,1000.625
61,951.5625
62,888.4375
63,814.6875
64,686.875
65,708.0625
66,751.875
67,842.0625
68,937.75
69,1031.75
70,1128.0625
71,1148.125
72,1219.625
73,1211.0625
74,1163.1875
75,1074.4375
76,982.1875
77,957.6875
78,912.6875
79,811.25
80,719.6875
81,685.8125
82,731.375
83,811.4375
84,921.5625
85,1025.625
86,1118.4375
87,1138.6875
88,1192.8125
89,1196
90,1137.875
91,1047.8125
92,994.9375
93,924.75
94,898.875
95,803.75
96,702.375
97,679
98,771.875
99,830.25
100,924.5
101,1025.75
102,1116.8125
103,1149
104,1196.375
105,1173.625
106,1147.375
107,1077.4375
108,974.5625
109,947.125
110,870.8125
111,766.9375
112,683.3125
113,711.3125
114,781.0625
115,858.375
116,961.1875
117,1077.6875
118,1135.0625
119,1168.625
120,1182.75
121,1154.5625
122,1141.375
123,1070.75
124,977.375
125,948.0625
126,864.125
127,775.0625
128,675.6875
129,698.125
130,768.4375
131,843.75
132,981.75
133,1053.875
134,1172
135,1196.625
136,1216.9375
137,1182.5625
138,1164.625
139,1073.8125
140,1016.5625
141,945.9375
142,898.9375
143,837.5625
144,715.5625
145,730.9375
146,793.25
147,881.8125
148,1007.25
149,1113.6875
150,1151.5625
151,1199.875
152,1230.625
153,1238.625
154,1153.125
155,1067.375
156,1022
157,928.1875
158,904.0625
159,778.25
160,728.125
161,723.75
162,803.6875
163,895.1875
164,998.25
165,1102.1875
166,1169.4375
167,1213.3125
168,1214.5
169,1204.625
170,1121.8125
171,1031.75
172,1016.1875
173,958.4375
174,898.4375
175,818.75
176,716.875
177,742.3125
178,802.875
179,894.9375
180,992.625
181,1123.125
182,1164.0625
183,1210.25
184,1218.6875
185,1210.125
186,1163.875
187,1043.375
188,999.0625
189,945.1875
190,917.625
191,801.8125
192,699
193,697.6875
194,756.4375
195,827.75
196,918.6875
197,1048.8125
198,1160.125
199,1216
200,1221.5625
201,1229.25
202,1186.25
203,1101.8125
204,1020.6875
205,941.25
206,904.4375
207,839.5625
