Frame,Mean
0,432.75
1,410.2
2,413.5
3,461.45
4,477.4
5,506.55
6,546.2
7,586.55
8,606.45
9,622.55
10,650.25
11,632.1
12,566.85
13,519.85
14,506.95
15,495.05
16,464.75
17,450.3
18,437.65
19,446.9
20,488.35
21,505.7
22,542.2
23,582.6
24,613
25,625.9
26,644.95
27,650.95
28,598.45
29,521.65
30,516.95
31,516
32,494.45
33,447.8
34,432.65
35,431.6
36,451.8
37,497.3
38,540.5
39,556.1
40,587.55
41,608.35
42,621.4
43,649.1
44,664.65
45,586.8
46,535.2
47,510.85
48,512.6
49,467.4
50,449.35
51,430.75
52,441.95
53,477.6
54,503.7
55,555.45
56,566.75
57,599.7
58,639.7
59,650.6
60,677.6
61,603.35
62,553.55
63,520.9
64,511.7
65,495.05
66,442.7
67,440.5
68,445.9
69,463.6
70,498.35
71,529.1
72,568.7
73,586.75
74,605.2
75,621.45
76,649.9
77,623
78,557.8
79,524.9
80,513.45
81,515.65
82,505.7
83,463
84,443.9
85,442.2
86,436.8
87,455.4
88,489.15
89,513.8
90,566.2
91,610.75
92,656.85
93,672.7
94,661.35
95,610.05
96,550.1
97,526.75
98,508.1
99,486
100,458.85
101,433.65
102,436.65
103,473.6
104,498.3
105,543.6
106,571.65
107,611.25
108,612.4
109,648.95
110,657.2
111,618.15
112,557.8
113,516.85
114,504.85
115,503
116,494.4
117,487.5
118,454.85
119,437.75
120,429.55
121,423.3
122,463.55
123,492.85
124,521.4
125,558.35
126,590
127,606.5
128,638.35
129,639.5
130,617.4
131,539.7
132,517.65
133,506.15
134,478.3
135,449.2
136,434.85
137,438.55
138,445.3
139,494.35
140,531.95
141,570.55
142,588.25
143,613
144,628.7
145,646.05
146,621.5
147,556.2
148,513.5
149,516
150,506.95
151,496.2
152,488.2
153,464.1
154,437.5
155,429.9
156,414.45
157,447.25
158,485.9
159,529.95
160,563.35
161,582.9
162,597.55
163,634.4
164,651.6
165,611.15
166,542.7
167,517.55
168,496.95
169,489.5
170,438.85
171,440.5
172,441.75
173,434.85
174,478.05
175,510.95
176,566.35
177,595.75
178,635.05
179,648.45
180,651.7
181,638.25
182,570.65
183,525.5
184,510.4
185,499.05
186,463.65
187,447.85
188,443.3
189,441.3
190,471.65
191,516.55
192,538.8
193,574.95
194,596.4
195,612.5
196,635.95
197,659.9
198,585.6
199,544.1
200,510.7
201,519.4
202,484.5
203,490.75
204,450
205,427.35
206,402.45
207,430.25
208,464.05
209,500.2
210,539.95
211,578.65
212,584.1
213,605.25
214,625.8
215,656.8
216,608.3
217,541.55
218,518.65
219,510.6
220,502.95
221,454
222,440.45
223,431.9
224,451.5
225,492.75
226,522.4
227,540.25
228,577.95
229,628.1
230,635.35
231,660.2
232,662.2
233,578.95
234,531.4
235,525.1
236,505.9
237,469.85
238,446.25
239,443.15
240,434.4
241,474.25
242,503.05
243,552.3
244,576.2
245,603.05
246,619.55
247,633.75
248,645.55
249,596.8
250,532.8
251,520.9
252,506.45
253,499.4
254,506.5
255,497.35
256,463.4
257,473.9
258,437.8
259,407.65
260,418.55
261,436.75
262,480.6
263,512.45
264,533.3
265,580.25
266,587.1
267,614.55
268,630.8
269,624.15
270,571.6
271,536.7
272,510.2
273,508.7
274,488.5
275,488.55
276,449.6
277,438.45
278,432
279,438
280,478.75
281,512.2
282,540.8
283,573.75
284,591.8
285,633.5
286,644.4
287,670.65
288,579.1
289,538.3
290,509.9
291,497.45
292,459.75
293,439.5
294,431.55
295,430.15
296,476.15
297,501.75
298,529.2
299,561.45
300,591.95
301,616.4
302,620.85
303,634.1
304,609.8
305,554.25
306,514.15
307,500.6
308,509.2
309,499.75
310,492.3
311,495.7
312,479.3
313,482.35
314,463.5
315,436.9
316,419.55
317,401.6
318,410.05
319,441.35
320,476.75
321,508.75
322,530.2
323,555.9
324,583.35
325,609
326,616.25
327,633
328,545
329,533.75
330,505.2
331,496.15
332,453.6
333,433.1
334,431.85
335,440.75
336,467.9
337,511.3
338,528.4
339,583.55
340,605.55
341,628.75
342,656.65
343,645.2
344,586.3
345,544.65
346,508.85
347,500.1
348,465.55
349,436.55
350,425.85
351,446
352,465.6
353,508.2
354,535.8
355,563.95
356,594.2
357,614.8
358,627.05
359,639.95
360,605.4
361,541.1
362,518.95
363,514.5
364,505.9
365,511.4
366,478.75
367,430.2
368,412.4
369,414.65
370,435
371,467.55
372,493.5
373,525.6
374,573.6
375,593.95
376,614.3
377,638.25
378,627.6
379,582.1
380,542.65
381,515.9
382,503.25
383,474.75
384,433.55
385,434.5
386,438.9
387,449.2
388,505.2
389,529
390,556.3
391,589.9
392,609.9
393,636.95
394,639.8
395,634.4
396,564.9
397,533.45
398,507.85
399,500.75
400,457.5
401,447.65
402,447.1
403,440.6
404,466.9
405,499.75
406,535.35
407,565.85
408,595.35
409,616
410,633.85
411,643.15
412,603.05
413,546.05
414,507.5
415,502.65
416,496.1
417,456.3
418,440.95
419,434.55
420,439
421,467.45
422,489
423,523.15
424,584.85
425,623.35
426,634.3
427,665.8
428,649.75
429,604.4
430,545
431,517.25
432,491.35
433,479.7
434,442.25
435,436.55
436,431.6
437,468.25
438,488.8
439,532.55
440,560.8
441,581.45
442,612.75
443,623.35
444,631.75
445,609.15
446,547.3
447,522.55
448,520.4
449,497.3
450,447.85
451,417.85
452,421.4
453,450.3
454,484.8
455,516.65
456,546.35
457,566.85
458,600.4
459,620.5
460,635.9
461,633.55
462,576.9
463,534.05
464,503.5
465,511.3
466,498.95
467,442.15
468,440.05
469,428.5
470,442.55
471,468.35
472,494.5
473,536.55
474,602.95
475,621.15
476,640.3
477,641.05
478,636.3
479,574
480,516.1
481,514.8
482,498.75
483,458.25
484,424.25
485,428.55
486,422.35
487,457.55
488,504
489,534.15
490,560.05
491,591.8
492,610.8
493,626.7
494,638.45
495,608.9
496,535.45
497,514.9
498,491.25
499,510.05
500,443.3
501,426.1
502,423.35
503,435.9
504,485.55
505,506.7
506,543.3
507,580.4
508,602.9
509,612.2
510,639.65
511,646
512,577.7
513,528.35
514,514.75
515,497.7
516,468.45
517,435.55
518,419.4
519,433.95
520,457.3
521,507.35
522,555.25
523,566.7
524,587.65
525,604.85
526,645.15
527,631.4
528,576.75
529,533.55
530,531.6
531,513.9
532,495.7
533,465.55
534,430.9
535,423.2
536,436.1
537,456.2
538,502.9
