Frame,Intensity
1,1319.9
2,994.15
3,797.75
4,789.05
5,880.8
6,991.7
7,1097.85
8,1171.9
9,1277.45
10,1321.4
11,1343.8
12,1143.45
13,787.45
14,786.7
15,838.35
16,960.85
17,1025.5
18,1126.2
19,1231.15
20,1280.35
21,1374.3
22,1250.25
23,887.1
24,773.35
25,788.75
26,886.15
27,998.95
28,1082
29,1190.65
30,1263.25
31,1325.4
32,1337.25
33,1048.95
34,791.7
35,777.6
36,849.3
37,982.65
38,1044.15
39,1153.65
40,1258.1
41,1327.95
42,1392.95
43,1245.1
44,860.25
45,770.65
46,787.1
47,939.5
48,1056.25
49,1149.5
50,1240.8
51,1307.55
52,1373.05
53,1304.2
54,942.6
55,776.05
56,782.95
57,873.75
58,972.15
59,1097.55
60,1198.85
61,1294.5
62,1361.3
63,1354.8
64,1093.45
65,801.6
66,754.5
67,826.65
68,963.3
69,1079.55
70,1142.45
71,1262
72,1333.15
73,1370.2
74,1242.05
75,891.25
76,768.35
77,797
78,940.05
79,1059.7
80,1126.4
81,1238.75
82,1341.95
83,1386.15
84,1371.8
85,968.5
86,774.65
87,773
88,878.95
89,1015.15
90,1110.05
91,1185.05
92,1297.5
93,1340.8
94,1392.05
95,1126.75
96,827.4
97,759.6
98,833.05
99,920.5
100,1075.05
101,1140.05
102,1273.45
103,1351.25
104,1385.5
105,1266.35
106,899.1
107,759.85
108,786.55
109,904.55
110,1033.05
111,1119.35
112,1234.1
113,1306.65
114,1362.15
115,1337.7
116,1102.65
117,799.3
118,797.15
119,877.4
120,994.35
121,1097.45
122,1169.65
123,1262.5
124,1350.5
125,1397.5
126,1226.15
127,968.1
128,750.45
129,754.65
130,831.9
131,953
132,1072.45
133,1145.45
134,1226.6
135,1292.85
136,1335.7
137,1218.85
138,971.05
139,753.45
140,717.35
141,818.2
142,987.8
143,1146.15
144,1252.6
145,1309.5
146,1357.4
147,1359.25
148,1243.2
149,1045.5
150,975.7
151,921.2
152,810
153,712.45
154,727.6
155,829.2
156,928.3
157,1025.45
158,1115.7
159,1219.5
160,1288.65
161,1318.2
162,1209
163,837.5
164,783.45
165,823.8
166,941.3
167,1040.6
168,1166.75
169,1258.15
170,1350
171,1350.05
172,1279.8
173,949.4
174,780.3
175,788.45
176,877.9
177,990
178,1106.8
179,1150.45
180,1263.05
181,1322
182,1346.65
183,1198.4
184,835.8
185,754.85
186,795.85
187,929.65
188,998.55
189,1106
190,1212.6
191,1297.6
192,1341.6
193,1338.85
194,1030.65
