F,I
1,723.2222
2,757.3333
3,729.1111
4,638.3333
5,466.6667
6,419.7778
7,430
8,471.6667
9,488
10,504.1111
11,588.3333
12,646.5555
13,699.5555
14,712
15,768
16,738.4445
17,668.3333
18,515.7778
19,412.2222
20,412.5555
21,436.6667
22,428.6667
23,496.4445
24,553.2222
25,620.1111
26,672.5555
27,715.7778
28,745.4445
29,765.4445
30,721.5555
31,575.4445
32,434.2222
33,422.6667
34,429.1111
35,468.5555
36,498.8889
37,522.1111
38,622.5555
39,656.7778
40,692.6667
41,722.3333
42,738.3333
43,703.7778
44,579.1111
45,436.3333
46,397.8889
47,437.5555
48,485.5555
49,486
50,519.1111
51,598.8889
52,659.3333
53,712.2222
54,688.1111
55,745.5555
56,714.1111
57,650.3333
58,458.4445
59,417
60,451.1111
61,435.8889
62,481
63,483.5555
64,562.5555
65,682
66,685.7778
67,720.7778
68,739.5555
69,734.4445
70,636.4445
71,501.8889
72,434
73,434.8889
74,451.5555
75,475.1111
76,494.3333
77,571.2222
78,639.4445
79,686.3333
80,703.2222
81,718.3333
82,741.6667
83,682.7778
84,517.1111
85,420
86,427
87,447
88,478.1111
89,504.6667
90,570.5555
91,639.1111
92,675.3333
93,712.7778
94,735.2222
95,755.7778
96,678.5555
97,573.1111
98,410.3333
99,410.7778
100,422.4445
101,461.3333
102,464
103,525
104,628.8889
105,656
106,728.5555
107,729.4445
108,740.8889
109,728.5555
110,615.2222
111,458.8889
112,407.8889
113,448.3333
114,466
115,497.2222
116,509.5555
117,589.1111
118,663.5555
119,704.4445
120,737.1111
121,767.1111
122,747
123,623.4445
124,462.5555
125,415.4445
126,462.7778
127,468.5555
128,481.6667
129,533.7778
130,586.6667
131,632.3333
132,688.1111
133,729.3333
134,769.3333
135,715.7778
136,616.4445
137,463.7778
138,417.4445
139,421.3333
140,471.4445
141,493.4445
142,524.6667
143,586.4445
144,654.7778
145,720
146,730.7778
147,757
148,761.1111
149,670.4445
150,519.5555
151,404.5555
152,427.5555
153,446.8889
154,466.4445
155,502.2222
156,551.1111
157,626.4445
158,678.6667
