Frame,Mean
1,1039.500
2,1043.250
3,959.750
4,865.000
5,857.250
6,840.250
7,819.250
8,783.500
9,817.750
10,934.500
11,1028.250
12,1068.250
13,1088.000
14,1047.500
15,993.750
16,857.250
17,832.250
18,757.500
19,807.500
20,777.000
21,784.000
22,925.500
23,991.250
24,1040.500
25,1023.000
26,1051.250
27,1064.500
28,881.750
29,850.500
30,834.750
31,778.500
32,773.000
33,768.750
34,849.250
35,951.750
36,998.250
37,1037.750
38,1055.500
39,1070.250
40,874.250
41,830.500
42,808.500
43,785.750
44,800.250
45,770.250
46,869.500
47,956.000
48,1054.750
49,1063.000
50,1045.750
51,1092.000
52,984.250
53,925.000
54,894.500
55,812.500
56,794.500
57,784.750
58,818.500
59,878.250
60,943.000
61,1084.250
62,1064.750
63,1059.250
64,1052.250
65,838.000
66,851.000
67,799.250
68,790.000
69,758.000
70,791.250
71,888.000
72,980.500
73,1037.750
74,1050.000
75,1037.500
76,1068.500
77,897.750
78,805.500
79,798.000
80,772.750
81,699.250
82,798.250
83,855.000
84,947.500
85,1014.000
86,1090.000
87,1035.000
88,1024.000
89,927.250
90,794.250
91,785.250
92,822.000
93,752.250
94,742.750
95,818.750
96,904.000
97,1008.500
98,1035.500
99,1016.750
100,1094.750
101,976.500
102,794.500
103,783.500
104,856.500
105,838.500
106,794.250
107,804.250
108,947.000
109,951.750
110,1069.750
111,1030.250
112,1052.500
113,1042.750
114,811.500
115,824.250
116,821.500
117,812.500
118,785.750
119,824.500
120,953.250
121,969.500
122,1044.250
123,1043.000
124,1074.250
125,1104.000
126,953.500
127,819.250
128,808.500
129,792.750
130,752.500
131,746.750
132,853.500
133,935.500
134,990.250
135,1111.750
136,984.500
137,1090.250
138,974.500
139,842.750
140,798.250
141,784.750
142,781.250
143,763.250
144,830.750
145,933.250
146,996.000
147,1039.500
148,1015.750
149,1056.000
150,961.000
151,778.250
152,823.500
153,805.000
154,780.750
155,757.250
156,788.750
157,934.000
158,1061.250
159,1071.500
160,1041.500
161,1036.500
162,1035.000
