Frame,Mean
0,792.1429
1,844.0714
2,944
3,1029.1428
4,1056.2142
5,1240.2858
6,1349.7858
7,1396.3572
8,1330.1428
9,1225.1428
10,1042.1428
11,964.3571
12,902.1429
13,814
14,790.2857
15,813.0714
16,819.5
17,878
18,923.3571
19,997.1429
20,1126.8572
21,1248.6428
22,1364.5714
23,1345
24,1309.4286
25,1188.7858
26,950.4286
27,935.5714
28,869.5
29,801.5714
30,778.8571
31,823.2857
32,876.5714
33,922.5
34,955.8571
35,1084.9286
36,1225.5
37,1422.7142
38,1412.7858
39,1292.6428
40,1258.1428
41,1065.7858
42,935.2857
43,936.6429
44,856.5
45,799.4286
46,789.2857
47,820.5714
48,911.5714
49,958.8571
50,1005.6429
51,1110.7858
52,1256.6428
53,1418.1428
54,1414.1428
55,1314.8572
56,1182.5714
57,975.2143
58,979.2143
59,864.9286
60,814.8571
61,828.8571
62,848.2857
63,885.7143
64,922
65,999.2857
66,1076.5714
67,1241.3572
68,1347.7142
69,1436
70,1398.5
71,1323.9286
72,1097.0714
73,998.6429
74,946.4286
75,853
76,783.2857
77,771.5714
78,784
79,869.5
80,936.7143
81,1006.2857
82,1124.7142
83,1266
84,1426.6428
85,1420.8572
86,1374
87,1309.5714
88,1004.4286
89,992.8571
90,937.7143
91,852.3571
92,805.3571
93,778.0714
94,858.7857
95,921.6429
96,938.5714
97,1020.8571
98,1144.8572
99,1293.6428
100,1439.4286
101,1375.7858
102,1315.6428
103,1233.5
104,1011
105,945.2857
106,856.3571
107,819.7857
108,816.7143
109,813.8571
110,910.5
111,944.7857
112,983.3571
113,1080.1428
114,1225.2858
115,1357.2142
116,1428.7858
117,1416.7142
118,1301.6428
119,1057.1428
120,942.6429
121,933.4286
122,831.0714
123,806.5714
124,787.8571
125,821.5714
126,847.0714
127,887.1429
128,950.4286
129,1060.7858
130,1195.0714
131,1293.4286
132,1266.2142
133,1271.6428
134,1111.5714
135,916.7143
136,897.9286
137,813.9286
138,764.5714
139,754.5
140,784.2857
141,815
142,870.9286
143,890.6429
144,987.0714
145,1100.6428
146,1229.1428
147,1266.2142
148,1255.1428
149,1197.4286
150,984.8571
151,954
152,893.7143
153,804.4286
154,811.1429
155,787.2857
156,817.7857
157,872.5714
158,908.4286
159,977.3571
160,1071.2858
161,1270.5
162,1385.6428
163,1335.5714
164,1355.7142
165,1230.4286
166,985.8571
167,924.8571
168,907.7857
169,818.7143
170,795.2143
171,796
172,839.9286
173,899.0714
174,919.7143
175,994
176,1177.7858
177,1293.8572
178,1361
179,1322.2858
180,1298.2142
181,1127.4286
182,968.6429
183,955.6429
184,856
185,795.9286
186,809.9286
187,810.6429
188,911.5
189,927
190,971.3571
191,1026.9286
192,1230.7858
193,1380.3572
194,1379.3572
195,1333
196,1261.8572
197,1018.8571
198,962.9286
199,929.4286
200,811.1429
201,792.0714
202,809.5714
203,837.2143
204,885.2143
205,926.8571
206,1013.2143
207,1150
208,1329.0714
209,1342.9286
210,1344.2858
211,1355.5
212,1132.5714
213,972.4286
214,934.9286
215,895.5714
216,777.4286
217,755.7143
218,780.7857
219,845.0714
220,898.7143
221,955.7143
222,991.2143
223,1138.4286
224,1286.5
225,1348.5
226,1366.2858
227,1281.2858
228,1084.7142
229,955
230,934.4286
231,859.8571
232,757.0714
233,785.2857
234,788.7143
235,833.3571
236,918.1429
237,959.1429
238,1054.5714
239,1214.5714
240,1410.3572
241,1400
242,1339.5
243,1251.2858
244,1013.4286
245,942.5
246,897.9286
247,820.8571
248,798.8571
249,793.1429
250,821.5
251,874.5714
252,892.7857
253,930.4286
254,1021.5714
255,1199
256,1284
257,1273.5714
258,1279.7858
259,1164.6428
260,973.0714
261,914.4286
262,865.7143
263,802.5
264,774.4286
265,801.7857
266,885.2857
267,897.6429
268,953.6429
269,1082.9286
270,1213.5
271,1366.9286
272,1404.3572
273,1387.2858
274,1330.2858
275,1120.6428
276,995.5
277,937.7143
278,843.2857
279,805
280,793.4286
281,821.8571
282,845
283,918.2143
284,964.1429
285,1116.3572
286,1218.6428
287,1358.5
288,1367.6428
289,1304.9286
290,1251.3572
291,1021
292,978.9286
293,936.0714
294,841.5
295,802.1429
296,799.5714
297,864.5714
298,927.7857
299,956.2857
300,1091.6428
301,1218.0714
302,1362
303,1470.0714
304,1414.0714
305,1312.0714
306,1175.4286
307,992.7143
308,929.3571
309,868.6429
310,822.4286
311,821.5714
312,865.9286
313,896.8571
314,905.2143
