Frame,Mean
0,582.875
1,629.375
2,797.5
3,839
4,890.25
5,929.875
6,990
7,1047.625
8,1061
9,1063.375
10,1172.125
11,1240.25
12,1137.75
13,1095.875
14,1062.375
15,650.875
16,577.5
17,593
18,651.5
19,784.25
20,843.875
21,920
22,955.75
23,991.75
24,1049.625
25,1065.5
26,1103
27,1233.625
28,1236.125
29,1195.125
30,1154.625
31,1106.25
32,1025.875
33,632.875
34,597.75
35,601.75
36,608.25
37,741
38,821.375
39,828.125
40,927.625
41,937.625
42,1028.75
43,1037.75
44,1101.25
45,1284.875
46,1323.125
47,1240.875
48,1149.125
49,1069.625
50,1031
51,645.75
52,579.25
53,572.125
54,635.25
55,748.375
56,843
57,846.625
58,940.25
59,943.625
60,1038.875
61,1075.875
62,1094.125
63,1213.75
64,1240.875
65,1186.375
66,1108
67,875
68,630.5
69,584.75
70,607.375
71,686
72,805.875
73,887.25
74,896.5
75,969.375
76,985.25
77,1072.375
78,1079.25
79,1149.125
80,1261.125
81,1205.625
82,1125.5
83,1076.125
84,841.5
85,618.75
86,614.75
87,614.375
88,720.25
89,853.75
90,873.125
91,899
92,945.25
93,1049.375
94,1049.875
95,1086.25
96,1165.625
97,1263
98,1206
99,1109.25
100,1034.5
101,706.875
102,590
103,617.875
104,629.25
105,759.875
106,875
107,906.125
108,894.625
109,967.375
110,1044.25
111,1053.375
112,1065.875
113,1210.25
114,1220.75
115,1219.625
116,1154.125
117,1163
118,1009.625
119,631.875
120,579.625
121,598.25
122,650.25
123,799.5
124,857
125,868.75
126,901.875
127,953
128,1020.75
129,1046.875
130,1143.5
131,1286.25
132,1338.75
133,1217
134,1148.25
135,1064.25
136,728.5
137,613.375
138,585.5
139,626.125
140,723.25
141,831.375
142,877.625
143,936.375
144,952.375
145,1026.375
146,1037.125
147,1093.375
148,1170.375
149,1201.75
150,1199.375
151,1140.625
152,1095.75
153,1100.625
154,1088.5
155,1056
156,1009
157,700.375
158,596.875
159,577.375
160,620
161,722.125
162,838.5
163,880.375
164,894
165,931.625
166,983.75
167,1033.25
168,1083.25
169,1165.25
170,1253
171,1173.25
172,1118.125
173,1063.625
174,846.625
175,604.375
176,565.375
177,591.625
178,686.125
179,808.625
180,912.125
181,913.625
182,918.625
183,984.25
184,1030.25
185,1070.875
186,1099.75
187,1173.75
188,1163.25
189,1115.25
190,1040.625
191,877
192,601.125
193,559.875
194,608.375
195,713.625
196,829.625
197,866
198,952.125
199,965.125
200,1004.875
201,1066.25
202,1049.125
203,1126.125
204,1263.25
205,1204.375
206,1121.125
207,1166.125
208,1117.25
209,865.25
210,617.875
211,582.125
212,594.875
213,725.5
214,827.75
215,860.625
216,909.5
217,981.875
218,981.75
219,1031.75
220,1084.625
221,1133.125
222,1235.25
223,1257.5
224,1205.625
225,1176.5
226,1156
227,1065.5
228,904.875
229,595.125
230,589.375
231,612.875
232,650.5
233,773.5
234,833.75
235,871.125
236,905.5
237,953.375
238,1056.25
239,1068.625
240,1072.5
241,1199.75
242,1186.25
243,1131
244,1163.625
245,1131.125
246,1066.875
247,1036.125
248,1027
249,737.875
250,585.5
251,626.625
252,652.375
253,703.625
254,805.25
255,888
256,897.625
257,943
258,978.5
259,976.75
260,1067.125
261,1160
262,1232.375
263,1125.5
264,1106.75
265,1083.125
266,1080
267,1058.375
268,1031.625
269,1015.125
270,1030.75
271,987.625
272,691.375
273,590.5
274,579.125
275,587
276,712.875
277,804.25
278,844.75
279,898.625
280,896.25
281,942.125
282,1018.375
283,1090.375
284,1224.5
285,1271.125
286,1212.625
287,1166.5
288,1112.75
289,1065.625
290,1015.125
291,648.625
292,581.5
293,604.625
294,617.875
295,762.375
296,816.875
297,889.125
298,939.125
299,979.25
300,1012.25
301,1044.375
302,1101.75
303,1229
304,1200.25
305,1197.75
306,1086.625
307,933.625
308,612.625
309,584.875
310,593.25
311,677
312,807.125
313,861.875
314,873.75
315,955.625
316,991
317,1054.625
318,1063.875
319,1138.375
320,1278.75
321,1246.875
322,1130.875
323,1102
324,846.875
325,610.625
326,626.375
327,649.5
328,727.75
329,815.5
330,886.625
331,884.625
332,933
333,1004.25
334,996.875
335,1043.625
336,1179.625
